trial_within_subject,block,stimulus_id,feature1,feature2,feature3,feature4,feature5,category_feedback,agent_id,w1_true,w2_true,w3_true,w4_true,w5_true,c_true,log_c_true,bias_true,prob_cat1,sim_response,correct,performance
1,1,11101.jpg,1,1,1,0,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,1,1
2,1,11111.jpg,1,1,1,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,0,0.5
3,1,00001.jpg,0,0,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,0.3333333333333333
4,1,00111.jpg,0,0,1,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.48781478307848414,1,0,0.25
5,1,00101.jpg,0,0,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46288078850945796,0,1,0.4
6,1,00100.jpg,0,0,1,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4543259340624787,1,0,0.3333333333333333
7,1,01001.jpg,0,1,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4931923983600477,1,0,0.2857142857142857
8,1,11110.jpg,1,1,1,1,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.556871556983772,0,0,0.25
9,1,01101.jpg,0,1,1,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4905318836480381,1,0,0.2222222222222222
10,1,00010.jpg,0,0,0,1,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4668645929406174,0,1,0.3
11,1,10110.jpg,1,0,1,1,0,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5278148766475643,0,0,0.2727272727272727
12,1,01000.jpg,0,1,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4690445379865154,0,1,0.3333333333333333
13,1,10001.jpg,1,0,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4874868132530659,1,0,0.3076923076923077
14,1,01011.jpg,0,1,0,1,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4831435330762337,1,0,0.2857142857142857
15,1,11001.jpg,1,1,0,0,1,0,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5000124380739439,0,1,0.3333333333333333
